URLs length directory hyphens digits tokens tlds
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 0.5 3.5 0.5
Non 21.5 2.5 0.5 0.5 4.5 0.5
Non 32.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 1.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 33.5 2.5 0.5 0.5 4.5 0.5
Non 36.5 2.5 0.5 0.5 4.5 0.5
Non 34.5 2.5 0.5 0.5 4.5 0.5
Non 37.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 1.5 4.5 0.5
Non 20.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 2.5 0.5 4.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 3.5 0.5
Non 29.5 2.5 0.5 0.5 4.5 0.5
Non 33.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 36.5 3.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 3.5 0.5
Non 29.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 16.5 2.5 0.5 0.5 3.5 0.5
Non 32.5 2.5 1.5 0.5 5.5 0.5
Non 41.5 2.5 3.5 0.5 7.5 0.5
Non 36.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 34.5 2.5 0.5 0.5 4.5 0.5
Non 20.5 2.5 0.5 0.5 3.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 46.5 5.5 0.5 0.5 7.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 3.5 0.5 0.5 5.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 16.5 2.5 1.5 0.5 4.5 0.5
Non 21.5 2.5 1.5 0.5 4.5 0.5
Non 27.5 2.5 0.5 0.5 3.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 20.5 2.5 0.5 0.5 3.5 0.5
Non 21.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 1.5 0.5 4.5 0.5
Non 25.5 2.5 1.5 0.5 4.5 0.5
Non 25.5 2.5 1.5 0.5 4.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 3.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 28.5 2.5 0.5 0.5 3.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 2.5 0.5 1.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 1.5 0.5 5.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 32.5 3.5 0.5 0.5 6.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 21.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 2.5 0.5 0.5 4.5 0.5
Non 35.5 3.5 2.5 0.5 7.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 3.5 0.5 0.5 5.5 0.5
Non 42.5 4.5 0.5 0.5 6.5 0.5
Non 31.5 3.5 0.5 0.5 6.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 32.5 2.5 0.5 0.5 4.5 0.5
Non 32.5 2.5 0.5 0.5 4.5 0.5
Non 32.5 3.5 0.5 0.5 5.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 33.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 0.5 3.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 18.5 2.5 0.5 0.5 3.5 0.5
Non 30.5 3.5 0.5 0.5 6.5 1.5
Non 15.5 2.5 0.5 0.5 3.5 0.5
Non 18.5 2.5 0.5 0.5 3.5 0.5
Non 35.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 20.5 2.5 0.5 0.5 3.5 0.5
Non 32.5 4.5 1.5 0.5 7.5 0.5
Non 67.5 4.5 0.5 0.5 7.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 21.5 2.5 1.5 0.5 5.5 0.5
Non 21.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 33.5 2.5 0.5 0.5 5.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 32.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 3.5 0.5
Non 31.5 2.5 0.5 0.5 5.5 0.5
Non 20.5 2.5 0.5 0.5 3.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 21.5 2.5 0.5 0.5 3.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 3.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 3.5 0.5 0.5 5.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 45.5 4.5 0.5 6.5 7.5 0.5
Non 39.5 3.5 0.5 1.5 6.5 0.5
Non 21.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 2.5 1.5 0.5 5.5 0.5
Non 25.5 2.5 1.5 0.5 5.5 0.5
Non 42.5 3.5 0.5 0.5 6.5 0.5
Non 41.5 3.5 0.5 0.5 5.5 0.5
Non 28.5 3.5 0.5 0.5 5.5 0.5
Non 38.5 3.5 0.5 0.5 6.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 50.5 3.5 0.5 0.5 5.5 0.5
Non 50.5 5.5 0.5 0.5 9.5 0.5
Non 21.5 2.5 0.5 0.5 4.5 0.5
Non 52.5 5.5 0.5 0.5 9.5 0.5
Non 30.5 2.5 1.5 0.5 5.5 0.5
Non 54.5 5.5 0.5 6.5 9.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 44.5 3.5 0.5 2.5 8.5 0.5
Non 32.5 2.5 0.5 0.5 4.5 0.5
Non 36.5 4.5 0.5 1.5 6.5 0.5
Non 51.5 5.5 0.5 0.5 8.5 0.5
Non 29.5 3.5 0.5 0.5 6.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 38.5 3.5 0.5 0.5 6.5 0.5
Non 33.5 3.5 0.5 0.5 6.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 2.5 0.5 0.5 5.5 0.5
Non 34.5 2.5 0.5 0.5 5.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 5.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 33.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 1.5 0.5 5.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 2.5 0.5 0.5 4.5 0.5
Non 20.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 32.5 2.5 1.5 0.5 5.5 0.5
Non 26.5 2.5 0.5 0.5 5.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 19.5 2.5 0.5 0.5 4.5 0.5
Non 19.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 19.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 3.5 0.5 0.5 5.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 20.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 34.5 4.5 0.5 7.5 6.5 0.5
Non 34.5 4.5 0.5 7.5 6.5 0.5
Non 37.5 3.5 0.5 0.5 5.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 19.5 2.5 0.5 0.5 4.5 0.5
Non 41.5 3.5 0.5 0.5 5.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 39.5 4.5 0.5 0.5 6.5 0.5
Non 48.5 3.5 0.5 0.5 5.5 0.5
Non 53.5 3.5 0.5 0.5 4.5 0.5
Non 37.5 3.5 0.5 0.5 6.5 0.5
Non 45.5 4.5 5.5 2.5 12.5 0.5
Non 42.5 3.5 0.5 0.5 5.5 0.5
Non 33.5 3.5 0.5 0.5 5.5 0.5
Non 38.5 4.5 0.5 0.5 6.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 22.5 2.5 0.5 0.5 3.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 17.5 2.5 0.5 0.5 3.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 17.5 2.5 1.5 0.5 4.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 3.5 0.5 0.5 6.5 0.5
Non 34.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 1.5 0.5 6.5 0.5
Non 23.5 2.5 1.5 0.5 4.5 0.5
Non 39.5 2.5 5.5 1.5 9.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 20.5 2.5 0.5 0.5 4.5 0.5
Non 38.5 2.5 3.5 0.5 7.5 0.5
Non 16.5 2.5 0.5 0.5 3.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 32.5 2.5 0.5 0.5 4.5 0.5
Non 21.5 2.5 0.5 0.5 3.5 0.5
Non 23.5 2.5 0.5 0.5 4.5 0.5
Non 40.5 4.5 0.5 1.5 6.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 33.5 3.5 1.5 0.5 6.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 3.5 0.5 0.5 5.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 1.5 0.5 5.5 0.5
Non 31.5 2.5 1.5 0.5 5.5 0.5
Non 41.5 3.5 0.5 0.5 6.5 0.5
Non 25.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 2.5 1.5 4.5 5.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 30.5 2.5 0.5 2.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 2.5 0.5 0.5 4.5 0.5
Non 28.5 2.5 1.5 1.5 5.5 0.5
Non 35.5 2.5 0.5 0.5 4.5 0.5
Non 47.5 4.5 0.5 0.5 6.5 0.5
Non 30.5 2.5 0.5 0.5 4.5 0.5
Non 23.5 2.5 0.5 8.5 4.5 0.5
Non 36.5 3.5 0.5 0.5 6.5 0.5
Non 33.5 3.5 0.5 0.5 6.5 0.5
Non 27.5 3.5 0.5 0.5 6.5 0.5
Non 31.5 3.5 0.5 0.5 6.5 0.5
Non 30.5 3.5 0.5 0.5 6.5 0.5
Non 28.5 3.5 0.5 0.5 6.5 0.5
Non 33.5 3.5 0.5 0.5 6.5 0.5
Non 31.5 3.5 0.5 0.5 6.5 0.5
Non 27.5 3.5 0.5 0.5 6.5 0.5
Non 33.5 3.5 0.5 0.5 6.5 0.5
Non 31.5 3.5 0.5 0.5 6.5 0.5
Non 29.5 3.5 0.5 0.5 6.5 0.5
Non 30.5 3.5 0.5 0.5 6.5 0.5
Non 30.5 3.5 0.5 0.5 6.5 0.5
Non 32.5 3.5 0.5 0.5 6.5 0.5
Non 31.5 3.5 0.5 1.5 6.5 0.5
Non 30.5 3.5 0.5 0.5 6.5 0.5
Non 30.5 3.5 0.5 0.5 6.5 0.5
Non 29.5 3.5 0.5 0.5 6.5 0.5
Non 34.5 3.5 0.5 0.5 6.5 0.5
Non 35.5 3.5 0.5 0.5 6.5 0.5
Non 29.5 3.5 0.5 0.5 6.5 0.5
Non 28.5 3.5 0.5 0.5 6.5 0.5
Non 38.5 3.5 0.5 0.5 6.5 0.5
Non 35.5 3.5 0.5 0.5 6.5 0.5
Non 31.5 3.5 0.5 0.5 6.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 35.5 3.5 0.5 0.5 6.5 0.5
Non 29.5 3.5 0.5 0.5 6.5 0.5
Non 26.5 3.5 0.5 0.5 6.5 0.5
Non 27.5 3.5 0.5 0.5 6.5 0.5
Non 27.5 3.5 0.5 0.5 6.5 0.5
Non 54.5 6.5 0.5 0.5 9.5 0.5
Non 36.5 3.5 0.5 0.5 6.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 34.5 3.5 0.5 0.5 6.5 0.5
Non 28.5 2.5 0.5 0.5 4.5 0.5
Non 31.5 3.5 0.5 1.5 5.5 0.5
Non 36.5 3.5 0.5 0.5 6.5 0.5
Non 43.5 3.5 1.5 0.5 7.5 0.5
Non 37.5 3.5 0.5 6.5 5.5 0.5
Non 35.5 3.5 0.5 0.5 6.5 0.5
Non 22.5 2.5 0.5 0.5 4.5 0.5
Non 46.5 4.5 0.5 0.5 7.5 0.5
Non 35.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 43.5 3.5 0.5 0.5 5.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 36.5 3.5 2.5 0.5 6.5 0.5
Non 33.5 3.5 0.5 0.5 5.5 0.5
Non 38.5 4.5 0.5 0.5 6.5 0.5
Non 28.5 3.5 0.5 0.5 6.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
Non 27.5 2.5 0.5 0.5 4.5 0.5
Non 24.5 2.5 0.5 0.5 4.5 0.5
Non 29.5 2.5 0.5 0.5 4.5 0.5
Non 32.5 3.5 0.5 0.5 6.5 0.5
Non 49.5 2.5 0.5 0.5 5.5 0.5
Non 26.5 2.5 0.5 0.5 4.5 0.5
